,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,miRNA,Rank
hsa-mir-551a_hsa-miR-551a,6.94367478,0.500968062,0.312156828,1.604860175,0.10852458,0.15983382,hsa-miR-551a,0.398936559
hsa-mir-34a_hsa-miR-34a-5p,131.0340773,0.706589341,0.29096143,2.428463943,0.015162933,0.028422294,hsa-miR-34a-5p,1.092627979
hsa-mir-1290_hsa-miR-1290,32.13615426,-4.523083478,0.400297751,-11.29929776,1.32271461739647e-29,1.90911809777557e-27,hsa-miR-1290,-120.8530237
hsa-mir-378f_hsa-miR-378f,3.298431221,0.45679973,0.326821123,1.397705651,0.162201477,0.231792869,hsa-miR-378f,0.290022116
hsa-mir-1976_hsa-miR-1976,7.468230855,-0.662212785,0.299117984,-2.213884891,0.026836698,0.04685601,hsa-miR-1976,-0.880236212
hsa-mir-30e_hsa-miR-30e-5p,162.0845501,0.186231883,0.246963947,0.754085303,0.450798002,0.548302064,hsa-miR-30e-5p,0.048602819
hsa-mir-30e_hsa-miR-30e-3p,2.952973851,-0.648967682,0.317266188,-2.045499039,0.040805684,0.067696786,hsa-miR-30e-3p,-0.758923543
hsa-mir-30c-1_hsa-miR-30c-5p,61.71454842,-0.640142807,0.274897835,-2.328657146,0.019877236,0.035832273,hsa-miR-30c-5p,-0.925470871
hsa-mir-6734_hsa-miR-6734-5p,8.923574841,-1.944581416,0.40695855,-4.778327956,1.76758912295393e-06,8.22974290579626e-06,hsa-miR-6734-5p,-9.887445369
hsa-mir-1273f_hsa-miR-1273f,3.467766392,-0.57700052,0.37829966,-1.525247261,0.127197437,0.1835883,hsa-miR-1273f,-0.424761818
hsa-mir-1273g_hsa-miR-1273g-3p,4.176145693,-0.98609296,0.371065814,-2.65746108,0.007873168,0.016311396,hsa-miR-1273g-3p,-1.76264991
hsa-mir-101-1_hsa-miR-101-5p,15.1262304,0.11272595,0.268513728,0.419814477,0.674620988,0.74708667,hsa-miR-101-5p,0.014274376
hsa-mir-101-1_hsa-miR-101-3p,447.2879672,0.271917868,0.35520139,0.765531542,0.443955092,0.541500154,hsa-miR-101-3p,0.072439305
hsa-mir-186_hsa-miR-186-5p,572.8056982,0.944481238,0.25924912,3.643141539,0.000269331,0.000815526,hsa-miR-186-5p,2.91708922
hsa-mir-186_hsa-miR-186-3p,3.893595153,1.034002226,0.300851105,3.436923478,0.000588362,0.001612409,hsa-miR-186-3p,2.887476777
hsa-mir-760_hsa-miR-760,53.84353467,-4.695911427,0.48788323,-9.625072429,6.26627627651061e-22,3.87613946818442e-20,hsa-miR-760,-91.15515709
hsa-mir-378g_hsa-miR-378g,2.154147359,0.063276991,0.380596325,0.166257492,0.867954317,0.903423604,hsa-miR-378g,0.002791057
hsa-mir-197_hsa-miR-197-3p,199.8996819,-1.209867854,0.266445271,-4.540774355,5.60479919969146e-06,2.47640617700653e-05,hsa-miR-197-3p,-5.572866837
hsa-mir-320b-1_hsa-miR-320b,88.7322193,-2.200040419,0.316014215,-6.961840041,3.35856733279867e-12,4.4068474397025e-11,hsa-miR-320b,-22.78333694
hsa-mir-942_hsa-miR-942-5p,10.4598479,-0.442022644,0.253836248,-1.741369275,0.08161887,0.124440038,hsa-miR-942-5p,-0.400048114
hsa-mir-92b_hsa-miR-92b-5p,4.533266221,-1.340955436,0.356979571,-3.756392649,0.00017238,0.000552893,hsa-miR-92b-5p,-4.367972697
hsa-mir-92b_hsa-miR-92b-3p,3.777394999,0.238990285,0.279408451,0.855343795,0.392360849,0.493872813,hsa-miR-92b-3p,0.07322301
hsa-mir-214_hsa-miR-214-5p,4.416180163,-0.072719089,0.298855735,-0.24332506,0.807753593,0.861471196,hsa-miR-214-5p,-0.004709233
hsa-mir-214_hsa-miR-214-3p,52.18165957,-2.074695821,0.301408456,-6.883336482,5.8466703071507e-12,7.4459065970478e-11,hsa-miR-214-3p,-21.01269026
hsa-mir-199a-2_hsa-miR-199a-5p,13.50844051,0.812991426,0.262554299,3.096469673,0.001958399,0.004790886,hsa-miR-199a-5p,1.885802071
hsa-mir-199a-2_hsa-miR-199a-3p,12.07807489,-0.564651138,0.292483395,-1.930540835,0.053539861,0.085862073,hsa-miR-199a-3p,-0.60203027
hsa-mir-181b-1_hsa-miR-181b-5p,18.68649515,-0.672407743,0.213254705,-3.153073418,0.001615612,0.003997485,hsa-miR-181b-5p,-1.612577103
hsa-mir-181a-1_hsa-miR-181a-5p,122.3835182,0.087553029,0.173245717,0.505369084,0.613299629,0.695179946,hsa-miR-181a-5p,0.013824865
hsa-mir-181a-1_hsa-miR-181a-3p,7.20869997,0.702232548,0.293189326,2.395150458,0.016613546,0.030742161,hsa-miR-181a-3p,1.061962135
hsa-mir-29c_hsa-miR-29c-5p,59.08774609,0.227963173,0.262008438,0.870060424,0.384267384,0.485742009,hsa-miR-29c-5p,0.07148796
hsa-mir-29c_hsa-miR-29c-3p,48.9018779,-0.525556216,0.283832283,-1.851643553,0.064077025,0.099714604,hsa-miR-29c-3p,-0.526208553
hsa-mir-29b-2_hsa-miR-29b-3p,78.1664372,0.746892804,0.21293243,3.507651716,0.00045208,0.001271109,hsa-miR-29b-3p,2.162864924
hsa-mir-29b-2_hsa-miR-29b-2-5p,18.05634172,0.450558824,0.237601371,1.896280408,0.057922975,0.090871914,hsa-miR-29b-2-5p,0.469288699
hsa-mir-205_hsa-miR-205-5p,37.2133013,0.635232988,0.295646114,2.148626204,0.031664043,0.053766786,hsa-miR-205-5p,0.806419335
hsa-mir-215_hsa-miR-215-5p,170.1958138,-0.862657955,0.288127363,-2.994016076,0.002753314,0.006409597,hsa-miR-215-5p,-1.891954898
hsa-mir-194-1_hsa-miR-194-5p,31.99199843,-1.45784168,0.285682053,-5.103021575,3.34272877277925e-07,2.01394371401175e-06,hsa-miR-194-5p,-8.303797211
hsa-mir-320b-2_hsa-miR-320b,85.88071542,-2.140010154,0.307137877,-6.967587885,3.22421042236416e-12,4.36275972776151e-11,hsa-miR-320b,-22.17101602
hsa-mir-1537_hsa-miR-1537-3p,10.98925865,0.942024697,0.307863369,3.059879132,0.002214263,0.005356291,hsa-miR-1537-3p,2.139466078
hsa-mir-548q_hsa-miR-548q,10.84212794,-2.830804356,0.394540963,-7.174931439,7.23434310821487e-13,1.08016226408863e-11,hsa-miR-548q,-31.04404711
hsa-mir-5100_hsa-miR-5100,21.58334607,0.272575823,0.337849742,0.806796007,0.41978402,0.517853221,hsa-miR-5100,0.077900349
hsa-mir-107_hsa-miR-107,3048.39287,-2.941104296,0.282374357,-10.41562105,2.1041968711001e-25,1.51852874197724e-23,hsa-miR-107,-67.11181479
hsa-mir-1287_hsa-miR-1287-5p,21.10087853,0.977357863,0.272492021,3.586739382,0.000334839,0.000993049,hsa-miR-1287-5p,2.935034339
hsa-mir-4685_hsa-miR-4685-3p,10.28411197,0.007780978,0.268832764,0.028943563,0.976909602,0.986072687,hsa-miR-4685-3p,4.73944858940563e-05
hsa-mir-3158-2_hsa-miR-3158-3p,4.636107187,-2.02127819,0.386823912,-5.225318618,1.7385547358038e-07,1.14059727364098e-06,hsa-miR-3158-3p,-12.01218881
hsa-mir-3158-1_hsa-miR-3158-3p,4.686457718,-2.242704326,0.375250298,-5.97655575,2.27904584563852e-09,1.86193745502165e-08,hsa-miR-3158-3p,-17.33618273
hsa-mir-146b_hsa-miR-146b-5p,35.61612763,-0.775624427,0.260903564,-2.972839524,0.002950587,0.006795766,hsa-miR-146b-5p,-1.681368823
hsa-mir-1307_hsa-miR-1307-3p,174.3248513,0.234634158,0.227198289,1.032728546,0.301730951,0.403239203,hsa-miR-1307-3p,0.092548453
hsa-mir-1307_hsa-miR-1307-5p,58.25590979,0.592255376,0.306540982,1.932059367,0.053352179,0.085862073,hsa-miR-1307-5p,0.631461871
hsa-mir-2110_hsa-miR-2110,153.4603383,-2.668012947,0.356757465,-7.478506301,7.51720975841349e-14,1.20553771310853e-12,hsa-miR-2110,-31.79956394
hsa-mir-378c_hsa-miR-378c,124.1940034,2.059558716,0.278207697,7.402953761,1.33188136691272e-13,2.05965939954718e-12,hsa-miR-378c,24.06842452
hsa-mir-210_hsa-miR-210-3p,358.7872138,-0.942203075,0.215303177,-4.376168946,1.207834098348e-05,5.12737416259494e-05,hsa-miR-210-3p,-4.042150113
hsa-mir-7847_hsa-miR-7847-3p,55.59519502,-4.144562344,0.49806383,-8.321347768,8.69686649605556e-17,2.21514305458356e-15,hsa-miR-7847-3p,-60.73689596
hsa-mir-483_hsa-miR-483-5p,101.742292,-0.977205343,0.320225985,-3.051611636,0.002276164,0.005460256,hsa-miR-483-5p,-2.211207546
hsa-mir-483_hsa-miR-483-3p,18.13689539,0.074914128,0.322432323,0.232340626,0.81627346,0.865219797,hsa-miR-483-3p,0.004710117
hsa-mir-610_hsa-miR-610,8.188576353,-2.21591595,0.367221742,-6.034272206,1.59680703280749e-09,1.35572048079538e-08,hsa-miR-610,-17.43444964
hsa-mir-129-2_hsa-miR-129-2-3p,5.021635897,0.371750174,0.342337094,1.085918474,0.277515063,0.37551257,hsa-miR-129-2-3p,0.158133424
hsa-mir-130a_hsa-miR-130a-3p,1508.99037,-3.292624126,0.346534496,-9.501576782,2.06735846223372e-21,1.118957767684e-19,hsa-miR-130a-3p,-62.39913324
hsa-mir-4488_hsa-miR-4488,26.91503638,-1.071191932,0.320237353,-3.344993709,0.000822844,0.002159343,hsa-miR-4488,-2.855453139
hsa-mir-1908_hsa-miR-1908-5p,9.205601551,0.52844629,0.28889107,1.829223345,0.067366157,0.103806213,hsa-miR-1908-5p,0.519873122
hsa-mir-192_hsa-miR-192-5p,657.5554101,-2.654612559,0.315816433,-8.405555499,4.25841114409281e-17,1.15243251587012e-15,hsa-miR-192-5p,-39.6556231
hsa-mir-194-2_hsa-miR-194-5p,34.2600751,-1.425240924,0.295091985,-4.829819163,1.36657104425448e-06,6.64859845126056e-06,hsa-miR-194-5p,-7.378856932
hsa-mir-139_hsa-miR-139-5p,48.60871654,0.07058949,0.305494093,0.231066627,0.817263041,0.865219797,hsa-miR-139-5p,0.004438212
hsa-mir-139_hsa-miR-139-3p,18.30874442,-3.242339587,0.410774195,-7.89324068,2.94439004566185e-15,5.79509495350718e-14,hsa-miR-139-3p,-42.91865278
hsa-mir-326_hsa-miR-326,37.21592935,0.987419286,0.29289944,3.371188714,0.000748446,0.001988202,hsa-miR-326,2.667552123
hsa-mir-1260b_hsa-miR-1260b,122.9088745,0.005948793,0.256792872,0.023165725,0.981518079,0.986072687,hsa-miR-1260b,3.62E-05
hsa-mir-7641-1_hsa-miR-7641,8.087740666,0.420819671,0.399729928,1.052759979,0.292451011,0.393375971,hsa-miR-7641,0.170512837
hsa-mir-4492_hsa-miR-4492,7.410420022,-0.634300965,0.381096695,-1.664409514,0.09603062,0.142890923,hsa-miR-4492,-0.535981372
hsa-mir-3656_hsa-miR-3656,249.6048937,-2.557754053,0.362617084,-7.053594998,1.74353376384935e-12,2.5165003991559e-11,hsa-miR-3656,-27.11015442
hsa-mir-125b-1_hsa-miR-125b-5p,77.51039445,0.897443823,0.244570399,3.669470323,0.000243054,0.000746398,hsa-miR-125b-5p,2.806333081
hsa-let-7a-2_hsa-let-7a-5p,97.42984168,-1.143379155,0.280016324,-4.083258931,4.44084942100956e-05,0.000168674,hsa-let-7a-5p,-4.313913419
hsa-mir-100_hsa-miR-100-5p,48.0469338,-0.03038981,0.283012631,-0.107379693,0.914487764,0.938325122,hsa-miR-100-5p,-0.000840177
hsa-mir-200c_hsa-miR-200c-3p,9.590243403,-2.033231957,0.39846377,-5.102677109,3.34882095632438e-07,2.01394371401175e-06,hsa-miR-200c-3p,-11.581193
hsa-mir-141_hsa-miR-141-5p,5.581096562,0.641455234,0.325209273,1.972438325,0.04855959,0.079046251,hsa-miR-141-5p,0.706959825
hsa-mir-148b_hsa-miR-148b-3p,56.84417501,0.489622362,0.298431437,1.640652762,0.100869516,0.149577056,hsa-miR-148b-3p,0.404004557
hsa-mir-1228_hsa-miR-1228-5p,30.31072934,-1.796979088,0.369599551,-4.861962316,1.16227752780052e-06,5.85193220392586e-06,hsa-miR-1228-5p,-9.403053757
hsa-mir-26a-2_hsa-miR-26a-5p,92.71510467,-1.233577599,0.285272834,-4.324202844,1.5308439398922e-05,6.40807998537661e-05,hsa-miR-26a-5p,-5.172726498
hsa-let-7i_hsa-let-7i-5p,526.2893792,-1.585028352,0.274279788,-5.778874067,7.52021873923796e-09,5.81474056087507e-08,hsa-let-7i-5p,-11.46842455
hsa-mir-331_hsa-miR-331-5p,22.18848261,-0.147434993,0.227994172,-0.646661234,0.517851218,0.614327609,hsa-miR-331-5p,-0.031197239
hsa-mir-331_hsa-miR-331-3p,5.696725721,-1.078943348,0.331607854,-3.253672476,0.001139235,0.002851381,hsa-miR-331-3p,-2.745851175
hsa-mir-619_hsa-miR-619-5p,9.559506748,-1.542230532,0.399072475,-3.864537462,0.0001113,0.0003778,hsa-miR-619-5p,-5.278651491
hsa-mir-4497_hsa-miR-4497,12.72051467,-0.424889755,0.342237659,-1.241504971,0.214419263,0.302421957,hsa-miR-4497,-0.220682079
hsa-mir-320d-1_hsa-miR-320d,36.35318174,-1.854537592,0.301611264,-6.14876768,7.80872554348668e-10,7.04412116735361e-09,hsa-miR-320d,-15.11851162
hsa-mir-3613_hsa-miR-3613-3p,4.207171589,-0.467199092,0.342290081,-1.364921506,0.172277722,0.245382413,hsa-miR-3613-3p,-0.285064594
hsa-mir-16-1_hsa-miR-16-5p,53116.81341,-3.14755327,0.297418299,-10.58291734,3.57645672185929e-26,3.27397069346678e-24,hsa-miR-16-5p,-73.92005315
hsa-mir-16-1_hsa-miR-16-1-3p,4.936175636,0.69028238,0.297684103,2.318841927,0.020403609,0.036447852,hsa-miR-16-1-3p,0.992852514
hsa-mir-15a_hsa-miR-15a-5p,836.7134507,-0.414620678,0.224066103,-1.850439103,0.064250288,0.099714604,hsa-miR-15a-5p,-0.415135318
hsa-mir-622_hsa-miR-622,6.259599617,0.361403528,0.357200222,1.011767366,0.311649297,0.415212755,hsa-miR-622,0.137958321
hsa-mir-17_hsa-miR-17-5p,3424.481007,0.535655984,0.271985135,1.969431101,0.048903607,0.079308097,hsa-miR-17-5p,0.589587152
hsa-mir-17_hsa-miR-17-3p,249.2343172,0.908776996,0.237077437,3.833249627,0.000126462,0.000414832,hsa-miR-17-3p,3.073599833
hsa-mir-18a_hsa-miR-18a-5p,596.9928186,0.309272613,0.322830868,0.958001987,0.338061757,0.443578002,hsa-miR-18a-5p,0.109182511
hsa-mir-18a_hsa-miR-18a-3p,4.323503602,-0.136930693,0.291854715,-0.469174167,0.638945149,0.716744169,hsa-miR-18a-3p,-0.019805085
hsa-mir-19a_hsa-miR-19a-3p,3000.536104,1.132542858,0.317270755,3.569641509,0.00035747,0.001045842,hsa-miR-19a-3p,3.375582635
hsa-mir-20a_hsa-miR-20a-5p,1226.426475,0.322866573,0.356551342,0.905526176,0.365186699,0.473430661,hsa-miR-20a-5p,0.104848859
hsa-mir-19b-1_hsa-miR-19b-1-5p,10.66152674,1.258915095,0.258479662,4.870460936,1.11338212159648e-06,5.67169951354441e-06,hsa-miR-19b-1-5p,6.604629626
hsa-mir-19b-1_hsa-miR-19b-3p,8160.213796,1.490570746,0.293110544,5.085353549,3.66941882507954e-07,2.14710588008033e-06,hsa-miR-19b-3p,8.448773415
hsa-mir-92a-1_hsa-miR-92a-3p,220.3002877,0.353514237,0.294286391,1.201259207,0.229650669,0.317695654,hsa-miR-92a-3p,0.176046105
hsa-mir-4306_hsa-miR-4306,101.8630307,-2.879466856,0.349646592,-8.235363718,1.79012925607426e-16,4.07961035726398e-15,hsa-miR-4306,-41.43374657
hsa-mir-624_hsa-miR-624-5p,3.801736623,-0.882435809,0.315654517,-2.795574787,0.005180751,0.01127269,hsa-miR-624-5p,-1.718960628
hsa-mir-625_hsa-miR-625-5p,15.01144605,-1.567531788,0.384748096,-4.074176855,4.61773814375434e-05,0.000172369,hsa-miR-625-5p,-5.899469825
hsa-mir-7641-2_hsa-miR-7641,6.2744254,0.067911616,0.361705665,0.187753807,0.851069649,0.890128401,hsa-miR-7641,0.003432752
hsa-mir-1260a_hsa-miR-1260a,90.97108722,0.080576546,0.239699634,0.336156317,0.736752992,0.802053074,hsa-miR-1260a,0.007718983
hsa-mir-151b_hsa-miR-151b,27.07796325,-0.03160438,0.253797638,-0.124525901,0.900898894,0.933227801,hsa-miR-151b,-0.000948521
hsa-mir-342_hsa-miR-342-5p,51.31765406,-3.02389845,0.378248534,-7.994475012,1.30127146083004e-15,2.81725271269703e-14,hsa-miR-342-5p,-40.97435074
hsa-mir-342_hsa-miR-342-3p,338.6487011,-1.293136124,0.289902118,-4.460595647,8.17321715395492e-06,3.53900302766248e-05,hsa-miR-342-3p,-5.755902858
hsa-mir-345_hsa-miR-345-5p,74.03566572,-1.233949133,0.277326262,-4.449449267,8.60907623899853e-06,3.69082179355086e-05,hsa-miR-345-5p,-5.469944637
hsa-mir-493_hsa-miR-493-5p,7.672404017,0.833753223,0.325585902,2.560778026,0.010443806,0.020649169,hsa-miR-493-5p,1.404955403
hsa-mir-337_hsa-miR-337-5p,6.711396077,-2.595366695,0.384185925,-6.755496556,1.42346889369792e-11,1.66584332694918e-10,hsa-miR-337-5p,-25.37844505
hsa-mir-127_hsa-miR-127-3p,27.08224605,0.338362497,0.310338198,1.090302446,0.275579938,0.374063051,hsa-miR-127-3p,0.14449946
hsa-mir-136_hsa-miR-136-5p,8.366153616,0.130013863,0.294015278,0.442201043,0.658343731,0.732809346,hsa-miR-136-5p,0.017553042
hsa-mir-299_hsa-miR-299-3p,18.69667127,0.373343023,0.285499441,1.307683904,0.190980545,0.271129757,hsa-miR-299-3p,0.211619343
hsa-mir-376c_hsa-miR-376c-3p,26.61360241,0.1693265,0.313487635,0.540137733,0.589102051,0.673363457,hsa-miR-376c-3p,0.029081904
hsa-mir-376a-2_hsa-miR-376a-3p,7.931182191,0.992001318,0.336911579,2.94439663,0.00323585,0.007374332,hsa-miR-376a-3p,2.115221889
hsa-mir-376a-1_hsa-miR-376a-3p,7.780402716,0.724900771,0.341597236,2.122092031,0.03383001,0.056997644,hsa-miR-376a-3p,0.901880289
hsa-mir-382_hsa-miR-382-5p,7.588641451,0.128020485,0.333568094,0.383791157,0.701133242,0.774466056,hsa-miR-382-5p,0.014209968
hsa-mir-134_hsa-miR-134-5p,129.3578549,-2.266247447,0.35224861,-6.433659016,1.24568142695111e-10,1.2842382330234e-09,hsa-miR-134-5p,-20.15000922
hsa-mir-485_hsa-miR-485-5p,4.858206454,0.392639609,0.33108684,1.185911254,0.235657348,0.322910227,hsa-miR-485-5p,0.19275393
hsa-mir-409_hsa-miR-409-3p,25.10452869,-1.20738731,0.401600649,-3.006437649,0.002643283,0.006189274,hsa-miR-409-3p,-2.666346168
hsa-mir-203a_hsa-miR-203a,18.37365408,-1.605790666,0.371451689,-4.323013497,1.53912313736528e-05,6.40807998537661e-05,hsa-miR-203a,-6.73351716
hsa-mir-1268a_hsa-miR-1268a,2.817072182,-1.239058658,0.377240605,-3.284531525,0.001021521,0.002586658,hsa-miR-1268a,-3.205768199
hsa-mir-4508_hsa-miR-4508,397.2874022,-1.312091512,0.366114563,-3.583827701,0.000338595,0.000997359,hsa-miR-4508,-3.937781177
hsa-mir-627_hsa-miR-627-5p,56.98214386,0.13813084,0.277920951,0.497014849,0.61917858,0.700011293,hsa-miR-627-5p,0.02139577
hsa-mir-190a_hsa-miR-190a-5p,62.9243923,-0.207852289,0.379435383,-0.547793639,0.583833607,0.672340297,hsa-miR-190a-5p,-0.035835992
hsa-mir-422a_hsa-miR-422a,2.519366197,-0.714375728,0.37332241,-1.913562405,0.055676093,0.088631427,hsa-miR-422a,-0.751817775
hsa-mir-629_hsa-miR-629-5p,53.17821227,-1.363586784,0.320947927,-4.248623126,2.15088418180322e-05,8.62345232148882e-05,hsa-miR-629-5p,-5.542051445
hsa-mir-7-2_hsa-miR-7-5p,256.9141944,1.109328949,0.208042917,5.332212041,9.70235500830908e-08,6.66844399777433e-07,hsa-miR-7-5p,6.851188404
hsa-mir-1225_hsa-miR-1225-5p,24.07554613,-2.526752833,0.377653131,-6.69067095,2.22149675686234e-11,2.40477023930348e-10,hsa-miR-1225-5p,-24.30464956
hsa-mir-6511b-1_hsa-miR-6511b-3p,2.574255481,-1.028356316,0.301261494,-3.413500686,0.00064134,0.001746542,hsa-miR-6511b-3p,-2.836022562
hsa-mir-4516_hsa-miR-4516,36.29917227,-3.788888337,0.456486705,-8.300106643,1.04017982320979e-16,2.50221035249911e-15,hsa-miR-4516,-55.32412059
hsa-mir-6126_hsa-miR-6126,5.788263968,0.280394641,0.376103424,0.745525361,0.455954186,0.551475314,hsa-miR-6126,0.072474703
hsa-mir-193b_hsa-miR-193b-5p,7.413753346,-0.120968119,0.381603445,-0.316999547,0.751243946,0.807167813,hsa-miR-193b-5p,-0.01125441
hsa-mir-193b_hsa-miR-193b-3p,18.50084895,1.112276013,0.280488311,3.965498631,7.32426727165168e-05,0.000259951,hsa-miR-193b-3p,3.987629356
hsa-mir-365a_hsa-miR-365a-3p,4.867402502,-1.154308757,0.320909396,-3.596992708,0.000321918,0.000961312,hsa-miR-365a-3p,-3.482705945
hsa-mir-6511b-2_hsa-miR-6511b-3p,2.626269918,-0.749942494,0.304014389,-2.466799344,0.013632673,0.026004173,hsa-miR-6511b-3p,-1.18862657
hsa-mir-484_hsa-miR-484,942.5154457,-0.549694447,0.224408898,-2.449521613,0.014304612,0.026929988,hsa-miR-484,-0.862890467
hsa-mir-138-2_hsa-miR-138-5p,3.610852094,0.206001249,0.296016591,0.695911161,0.486484467,0.581899929,hsa-miR-138-5p,0.048441543
hsa-mir-328_hsa-miR-328-3p,10.7402229,0.420710571,0.268333033,1.56786724,0.116912119,0.171023471,hsa-miR-328-3p,0.322661568
hsa-mir-140_hsa-miR-140-5p,28.03444944,0.470987346,0.259775269,1.813056909,0.069823044,0.106831725,hsa-miR-140-5p,0.457469895
hsa-mir-140_hsa-miR-140-3p,1546.202949,-0.404501131,0.184946171,-2.187128981,0.02873311,0.049765746,hsa-miR-140-3p,-0.52709308
hsa-mir-22_hsa-miR-22-5p,31.02163814,0.599008713,0.250401712,2.39219097,0.016748125,0.030859312,hsa-miR-22-5p,0.904870805
hsa-mir-22_hsa-miR-22-3p,564.364066,-0.340011439,0.20268262,-1.677555966,0.093433815,0.140964606,hsa-miR-22-3p,-0.289312305
hsa-mir-132_hsa-miR-132-3p,8.288017353,0.058440449,0.302140053,0.193421719,0.846628707,0.887627676,hsa-miR-132-3p,0.003025413
hsa-mir-195_hsa-miR-195-5p,8.25960675,-1.459682968,0.29758474,-4.905100198,9.33796589396558e-07,4.81349908581797e-06,hsa-miR-195-5p,-7.761921266
hsa-mir-497_hsa-miR-497-5p,28.65968843,0.04187398,0.316395294,0.132347039,0.894709803,0.929039196,hsa-miR-497-5p,0.001338542
